PLEASE ADD CURRENT ENTRIES AT THE TOP.                                          
INSERT AN * BEFORE INITIALS IF CHANGE HAS BEEN INSTALLED IN UK AS WELL          
INSERT AN - BEFORE INITIALS IF LOCAL VERSION                                    
*                                                                               
21DEC89 CTMAD00     AELK  SAFER TEST FOR END OF DATA FORMAT REPORTS             
25OCT89 EDREQSORT  *RCRI  SPOTJ=NET5 SPOTK=NET6                                 
25OCT89 EDREQWRAP  *RCRI  SPOTJ=NET5 SPOTK=NET6                                 
25OCT89 SRSSB00    *RCRI  FIX MAX UTL ENTRIES FOR VTAM                          
25OCT89 SRXNT00    *RCRI  NEW VERSION TO WRITE TO PRINT QUEUE                   
24OCT89 SRTXT00    *SDE   FIX BUG IN TIME DISPLAY LOGIC                         
24OCT89 FABCTAB    *SDE   FIX COMMENTS DESCRIBING TIME FIELDS                   
20OCT89 GEGENCON    DHAB  TIDY UP SELECT ERROR LOGIC                            
20OCT89 DMDANDX    *MHER  SUPPORT OFF-LINE FULL TRACK READ                      
20OCT89 DMDADDS    *MHER  FIX SUPPORT FOR FULL TRACK RD ON DANDX FILE           
18OCT89 DMISDDS    *MHER  SUPPORT OFF-LINE TRK INDX BUFFERS                     
18OCT89 DMDTFIS    *MHER  DROP ISBUFF2X, ADD ISTIBUFF, ISTITRK                  
18OCT89 FATAB      -SDE   NET5 AND NET6                                         
18OCT89 FACSYTAB   -SDE   NET5 AND NET6                                         
18OCT89 DMFILES    -SDE   NET5 AND NET6                                         
18OCT89 SRXNT00    -SDE   NET5 AND NET6                                         
17OCT89 SRDON00    *MHER  ALLOW VTAM CLSDST EVEN IF TRM NOT CONNECTED           
16OCT89 DCSCANNER  *DHAB  DOCUMENTATION FOR BELOW                               
16OCT89 DDSCANNER  *DHAB  RETURN DISPLACEMENT INTO LINE OF EACH FIELD           
13OCT89 DCGETPROF  *JNEW  DOCUMENTATION FOR 2 CHARACTER OFFICE LOOKUP           
12OCT89 DDGETPROF  *JNEW  SUPPORT 2 CHARACTER OFFICE LOOKUP FOR ACC             
12OCT89 EDREQWRAP  *KHAM  NO LOGOS WHEN DOWNLOADING                             
12OCT89 CTSFM09    *SDE   ALLOW MAX LENGTH OF 4 ON LUID FILTER                  
11OCT89 SRTOP00    *MHER  ADD 6 MORE STUPID OGILVY PRINTERS                     
09OCT89 SRLIN00    *RCRI  AUTO START 3270 PRINTERS                              
09OCT89 CTLFM00    *RCRI  FIX DELETE/RESTORE TERM PSWRD AND TIDY UP             
************************************************************************        
09OCT89 DMFILES     PSCI  ADDED 'ENTRY' FOR ROIDIR1/ROIFIL1                     
06OCT89 GEGENCON    DHAB  OPT. RESTORE FULL AVAIL. TWA0 AFTER SELECT            
06OCT89 DDSPLWORKD  DHAB  GENSTAT3 BIT FOR ABOVE                                
05OCT89 DMDYNAMDD  *RCRI  ROIDIR/ROIFIL                                         
05OCT89 SRRCV00    *RCRI  FIX LAST (PLEASE GOD) ZIEGLERISM                      
03OCT89 CTMADDSECT *AELK  $MAD                                                  
03OCT89 CTMADEQUS  *AELK  $MAD                                                  
03OCT89 CTMADFF    *AELK  $MAD TA0CFF                                           
03OCT89 CTMADWORKD *AELK  $MAD                                                  
03OCT89 CTMAD00    *AELK  $MAD TA0C00                                           
03OCT89 CTMAD01    *AELK  $MAD TA0C01                                           
03OCT89 CTMAD02    *AELK  $MAD TA0C02                                           
02OCT89 CTLFM02    *RCRI  FIX LITTLE BUGS                                       
02OCT89 DMDMGRA    *RCRI  SET VTAMLUID PROPERLY                                 
02OCT89 FASTART    *RCRI  SET TJOBINFO PROPERLY                                 
************************************************************************        
28SEP89 FASPOON     SDE   FORCE CONTROL SYSTEM SOON CLASS TO C1SOON             
28SEP89 CTSFM00     SDE   CHANGE REPORT PREFIX FROM CO TO CT                    
26SEP89 FATASKERV   MHER  FIX STUPID BUG WHEN SYSTEM AT MAXTASKS                
26SEP89 DMDMGRTAB  *PSCI  ADDED REP ROI DIR/FIL ACTIONS                         
26SEP89 DMDMGR     *PSCI  ADDED REP ROI GETREC LABEL (DMODB88)                  
26SEP89 DMDMGRA    *PSCI  ADDED REP ROI GETREC LABEL (DMODB88)                  
26SEP89 DMDAPTRS   -PSCI  ADDED REP ROI DIR KEY ENTRY                           
26SEP89 DMFILES    -PSCI  ADDED REP ROI DIR/FIL DEFINITIONS                     
26SEP89 DMRCVR     *PSCI  ADDED REP ROI FILE TO RECOVERY LIST                   
26SEP89 DMDALINK   *PSCI  ADDED REP ROI ENTRY TO US FILE TABLE                  
26SEP89 DDHELEN    -PSCI  ADDED REP ROI DIR/FILE ENTRIES                        
25SEP89 SRTOP00     MHER  NEW CTL SEQ FOR OGNY HP LASER JETS !                  
25SEP89 FALCMV      MHER  MAKE SURE LOGGED ON BEFORE TESTING IF PRINTER         
************************************************************************        
21SEP89 SRCON00    *RCRI  ED#112 INVALID SIGN ON - CONTACT DDS                  
21SEP89 SRVTL00    *RCRI  CHECKPOINT TERMINAL CTFILE NUM                        
20SEP89 SRSHC00    *RCRI  CONVERT TO VTAM                                       
20SEP89 CTLFM02    *RCRI  ADDED LTYPE=L                                         
20SEP89 FASTART    *RCRI  USE DATAMGR TO READ TEMPSTR (NOT DADDS)               
20SEP89 DMDMGRA    *RCRI  NEW TEMPSTR ALGORITHM                                 
20SEP89 FASRS      *RCRI  ADDED SRSLUID REDEFINITION                            
20SEP89 FASSB      *RCRI  ADDED SSBABCL                                         
19SEP89 CTSFM09    *SDE   ENHANCED TIME AND PROGRAM FIELD VALIDATION            
18SEP89 SRPQU01    *RCRI  CLSDST IF KILL                                        
18SEP89 SRLST00    *MHER  EXPAND UTL ENTRY SAVE AREA                            
18SEP89 SRVIOFF    *RCRI  CONVERT LINE/ADDR TO LUID                             
18SEP89 SRVIO00    *RCRI  CONVERT LINE/ADDR TO LUID                             
18SEP89 FAABEND    *RCRI  SHOW LUID INSTEAD OF LINE ID AND TERM NUM             
18SEP89 SRABNFF    *RCRI  NB CANT LOAD T1FFFFA UNTIL FAABEND LINKED IN          
15SEP89 SRTXT00    *RCRI  TABLE TO SHOW NEW/OLD BRDCST SYSTEM FOR BTAM          
14SEP89 DMRCVR     *RCRI  SET TCFN IN RECV HDR FOR VTAM                         
14SEP89 FACHKOUT   *RCRI  SAVE TERMINAL CONTROL FILE NUMBER                     
14SEP89 FACHKPT    *RCRI  ADD TERMINAL CONTROL FILE NUMBER                      
14SEP89 FALOAD     *RCRI  RECATAL FOR LONGER UTL TCFN                           
14SEP89 FASTART    *RCRI  RESTORE TERMINAL CONTROL FILE NUMBER                  
14SEP89 FATERMBLD  *RCRI  TERMINAL CONTROL FILE NUMBER TO UTL                   
14SEP89 FAUTL      *RCRI  ADDED TCFN (CATAL FALOAD/FALCMV)                      
14SEP89 CTSFMF9    *SDE   ADD ID NUMBERS FOR HELP SCREENS                       
14SEP89 CTSFME9    *SDE   ADD ID NUMBERS FOR HELP SCREENS                       
14SEP89 CTSFMD9    *SDE   ADD ID NUMBERS FOR HELP SCREENS                       
13SEP89 DDREPWKLST *DHAB  NEW COUNT OPTION DISPLAYS RECORD NO. ON WKFILE        
13SEP89 SRTOP00    *MHER  CHANGE ESCAPE SEQUENCE FOR LANDSCAPE                  
13SEP89 DDSPOOL    *RCRI  BACKED OUT DCHAS LEV 6 FIX (MADE UK ONLY)             
12SEP89 EDREQPEEL  *JDIL  DUPLICATE ACC REQUESTS                                
12SEP89 FAPRQ      *RCRI  ADDED PRSTAT3                                         
12SEP89 DMISDDS    *MHER  FIX BINARY SEARCH BUG WHEN FILE IS FULL               
12SEP89 DMDMGRTAB  *RCRI  ADDED UK FEE FILES AND LEVELED BACK                   
12SEP89 DMDYNAMDD  *RCRI  ADDED UK FEE FILES AND LEVELED BACK                   
29AUG89 GEGENCON    PSCI  USE KEYSAVE ON DIR ACCESS OPTION FOR INTEREP          
************************************************************************        
24AUG89 FATERMBLD  *RCRI  FIX BUG WITH PRINTER PASSIVE                          
23AUG89 CTLFM15    *RCRI  DONT SEARCH DECB FOR LINE ANYMORE                     
23AUG89 SRALO00    *RCRI  EXIT IF VTAM APPLICATION                              
23AUG89 SRDEC00    *RCRI  EXIT IF VTAM APPLICATION                              
23AUG89 SREOJFF    *RCRI  BTAM/VTAM VERSION                                     
23AUG89 SREOJ00    *RCRI  BTAM/VTAM VERSION                                     
23AUG89 SRLEB00    *RCRI  EXIT IF VTAM APPLICATION                              
23AUG89 SRLIN00    *RCRI  EXIT IF VTAM APPLICATION                              
23AUG89 SRTRM00    *RCRI  EXIT IF VTAM APPLICATION                              
22AUG89 DMDMGR     *MHER  FIX DMODADDS/DMOISDDS TO WORK PROPERLY AGAIN          
22AUG89 DMDMGRTAB  *MROS  NEW REP CODE                                          
22AUG89 SRTIM00    *RCRI  FIX BUG CAUSED BY FASWITCH TO CONTROL                 
21AUG89 DDDICTATE  *RCRI  SPOT AND GAMES ADDED                                  
21AUG89 CTLFMFD    *RCRI  MODE NODE/LINE/CU/DV UNPROT FIELDS                    
21AUG89 CTLFM02    *RCRI  CODE FOR NODE/LINE/CU/DV VALIDATION/DISPLAY           
18AUG89 SRWHO00    *RCRI  TABLE FOR COMTEN NODES                                
18AUG89 EDREQWRAP  *RCRI  MERGED IN KHAMS UNDUCUMENTED UPDATE                   
18AUG89 DMDTFPH    *RCRI  TIDY UP                                               
17AUG89 FASTART    *RCRI  RESTORE TCBSINL ON RESTART                            
16AUG89 FATASKERV  *RCRI  PUT TSVCREQ CODE IN VTAM VERSION                      
16AUG89 FATASKER   *RCRI  MERGED UK/US VERSIONS (TSVCREQ/TIMERECB)              
16AUG89 FAMONITOR  *RCRI  SET ALL RECOVERY DISK ADDR'S FROM 3 TO 4 BYTES        
15AUG89 SRRCV00    *RCRI  NEW RECOVERY MODULE                                   
************************************************************************        
14AUG89 DMISDDS    *MH    BRAVELY TRY TO FIX ERASE BUG IF NOT REMOVING          
                          LAST ADDED RECORD FIRST                               
09AUG89 DMDADDS    *MH    NOTE FULL TRACK READ ERRORS SO DO NOT RETRY           
01AUG89 DMDAPRTR   -MH    FIX BUG IN TRANSFERRED BUY KEYS                       
26JUL89 CTSFM00    *SDE   ADD SPANEL RECORD TYPE TO TABLES                      
13JUL89 CTLFMTEMP  *EJOR  ADD ARSEQ INTO SPARE                                  
13JUL89 CTLFM00    *EJOR  ADD CODE FOR READ SEQ (RSEQ)                          
11JUL89 CTLFM1C    *EJOR  LOGIC TO PRINT REPORT (REMOTE ONLY)                   
11JUL89 CTLFME3    *EJOR  ADDED REPORT FIELD TO SCREEN                          
10JUL89 DDCOREQUS  -SDE   ADDED T00A8B (DROOL) AND T00A3C (BUFFOON)             
07JUL89 CTINF00    *EJOR  SUPRESS DISPLAY OF LOCKED AUTH RECS                   
07JUL89 CTLFM00    *EJOR  LOCK/UNLOCK AUTH REC (USES ACTION DELETE)             
06JUL89 CTLFM1C    *EJOR  OPTION TO MOVE OFFC CODE W/OUT DELETING               
                          REC AND CHANGING PASSWD (AUTH RECS)                   
06JUL89 EDREQPEEL  *JDIL  LOGIC TO HANDLE 2 CARD REQUEST FROM PAN               
                          LIBRARY                                               
28JUN89 CTGENBRD   *DEIS  NEW BRDCST RECORD DSECT (THANK YOU RCRI)              
28JUN89 SRTXT00    *RCRI  NEW BRDCST PROGRAM                                    
28JUN89 SRTXTFE    *RCRI  NEW BRDCST EXTRA SCREEN                               
27JUN89 FACHKPNT   *RCRI  NEW BRDCST BIT MAPS                                   
26JUN89 GEGENCON    BL    OPTION TO SUPPRESS REQUEST DETAILS PAGE               
                          VALIDATION OF OUTPUT/DESTINATION FIELDS MOVED         
                          TO SEPARATE NMODS TO AVERT BASE REGISTER OVER-        
                          FLOW                                                  
26JUN89 DDSPLWORKD *BL    NEW GENSTAT2 BIT SETTING 'NOREQDET'                   
26JUN89 DDPERVAL   *DAH   NEW OPT TO RETURN END DATE ADJUSTS 1 DAY LESS.        
26JUN89 DDPERVALD  *DAH   SEE ABOVE.                                            
26JUN89 SRTIM00    *RCRI  READ BROADCAST RECORDS AND BUILD BCTAB                
22JUN89 FATAB      -RCRI  NEW BROADCAST TABLE AND $LB SERVICE REQUEST B         
22JUN89 FAPHLS     -RCRI  NEW BROADCAST SCREEN T144FE                           
22JUN89 FASSB      *RCRI  ADDED SSBABC (ADDR OF BROADCAST TABLE)                
22JUN89 FABCTAB    *RCRI  NEW BROADCAST TABLE DSECT                             
22JUN89 FASPOON    *RCRI  ADD //*MAIN FOR TALENT/CPP/MEDIABASE                  
21JUN89 FANETGEN   *RCRI  EXTRA FULL WORD INFRONT OF ECBLIST                    
20JUN89 MCGOTO1    *RCRI  ALLOW -N IN PARAMS TO GEN F'-N'                       
19JUN89 CTGENFILE  *SDE   ++INCLUDE CTGENPGREC (SAVED PROGRAM RECORDS)          
19JUN89 CTGENPGREC *SDE   NEW DSECT                                             
19JUN89 GEGENCON    DAH   VALIDATE SELECT CODES BASED ON MAINT. ACTION          
                          RECOGNIZE 'KEY' FLD ON RETURN TO LIST FROM SEL        
                          NEW MODE 'PROCPFK' PASSED DURING SELECT               
19JUN89 DDSPLWORKD  DAH   NEW MODE 'PROCPFK'. GENSTAT3 BIT FOR SEL. VAL.        
07JUN89 GEGENCON    BL    RETURN 'SECURITY LOCKOUT' IF RECORD/ACTION            
                          ENTRY FAILS SECURITY TEST                             
************************************************************************        
01JUN89 DMDADDS    *RCRI  CLEANED VERSION WITH DATA COMPRESSION                 
01JUN89 DMDMGR     *RCRI  NEW LIVE VERSION                                      
01JUN89 DMDMGRS    *RCRI  SAVED OLD VERSION                                     
31MAY89 DCDATCON   *RCRI  NEW JULIAN DATE CODES                                 
31MAY89 DDDATCON   *RCRI  NEW JULIAN DATE CODES                                 
31MAY89 SRLOD00    *SDE   HANDLE 4 BYTE ABBREVIATED SYSTEM NAMES                
31MAY89 SRDIS00    *SDE   HANDLE 4 BYTE ABBREVIATED SYSTEM NAMES                
31MAY89 FACIDTAB   *SDE   USE ALL 4 BYTES OF SYSTEM NAME FIELD (NOT 3)          
30MAY89 DCDICTATE  *RCRI  TIDY UP                                               
30MAY89 SRNOPFF    -SDE   SPELL 'CENTER' LIKE A NORMAL PERSON                   
30MAY89 FASTART    *RCRI  FIX AUTO RESTART SHUTTLES BUG                         
30MAY89 SRDIP00    *RCRI  CHANGE DEFAULT FOR $DIP,DL                            
26MAY89 GEGENCON    SDE   SET PERVAL ADDRESS IN US AS WELL AS UK                
22MAY89 DDCONFUSE   MH    FIXED CTUSER/CTFILE SEQ READ PROBLEM                  
17MAY89 DMDALINK   *RPC   CLEANED VERSION READY FOR DATA COMPRESSION            
17MAY89 DDSPLWORKD *DAH   MERGE UK AND US VERSIONS                              
17MAY89 DDHELEN    -RCRI  2000 BYTE RECS FOR PERFIL                             
16MAY89 FAMONITOR  *RCRI  NEW MULTI CSECT VERSION RELABELED                     
12MAY89 FASRS      *SDE   NEW EQUATED SYMBOL FOR $VTT                           
11MAY89 FATI3270   *DAH   INSTALL RECOGNITION OF PF1 FOR $HELP                  
11MAY89 FAPGMLST   *DAH   NEW BIT IN PGMLIST ENTRY FOR ABOVE                    
08MAY89 SRXNT00    *SDE   LOTS OF CHANGES/ADDITIONS TO SYNONYM TABLE            
08MAY89 SRLST00    *SDE   FIX BUG IN SYSTEM NAME DISPLAY LOGIC                  
05MAY89 GEGENCON    DAH   DISALLOW RESTORE OF NON-DELETED RECORDS               
05MAY89 DDSPLWORKD *DAH   DEFINE GENERAL MESSAGE 59 FOR ABOVE                   
04MAY89 SRCON00    *SDE   ADD ADV4 ENTRY TO SYSLOGO                             
04MAY89 SRSYS00    *SDE   SEND CONSOLE MSG WHEN SYS IS STARTED/STOPPED          
04MAY89 MCFATRB    *RPC   DONT SET PRINTER FF SUPPORT IN UTL                    
04MAY89 MCFATRM    *RPC   DONT SET PRINTER FF SUPPORT IN UTL                    
************************************************************************        
27APR89 DMDTFIOA   *RPC   SAVE AMOUNT OF STORAGE USED IN TASK IOA               
27APR89 FAGETFACT  *RPC   PASS FAIOASTR AND FAIOALEN AVAILABLE STORAGE          
27APR89 FAFACTS    *RPC   DEFINE FAIOASTR AND FAIOALEN IOA STORAGE              
27APR89 SRPQU01A   *RPC   VTAM TERMINAL BUILD/CHECKPOINT AND VTAM LUIDS         
26APR89 FATERMVAL  *RPC   SUPPORT LUIDS                                         
26APR89 SRVTL00    *RPC   VTAM TERMINAL BUILD/CHECKPOINT ROUTINE                
25APR89 FACHKOUT   *RPC   SAVE EXTRA UTL FIELDS IN CHECK POINT REC              
25APR89 SRCON00    *MH    DISTINGUISH AUTH FOR OR'D V AND'D & ADV 4             
25APR89 FACIDTAB   *SDE   ADV 4                                                 
25APR89 SRWHO00    *SDE   ADV 4                                                 
24APR89 CTLFM02    *RPC   CHANGED DEFAULTS FOR VTAM                             
24APR89 FASTART    *RPC   MORE VTAM CODE FOR CHECK POINTS                       
24APR89 FASSB      *RPC   NEW SSBTWAM MODULUS FOR TEMPSTR                       
24APR89 FATERMBLD  *RPC   REDEFINE PRINTER STUFF FOR VTAM                       
24APR89 FAUTL      *RPC   REDEFINE PRINTER STUFF FOR VTAM                       
24APR89 FAPRQ      *RPC   REDEFINE PRINTER STUFF FOR VTAM                       
19APR89 DMDMGRA    *RPC   FIX DMODADDS/DMOISDDS TO RETURN VIA DMGRX             
19APR89 FAPARM.    -RPC   ADDED VTAM AND FACTWAM DATA TO ALL FAPARMS            
19APR89 FAPARMDEF  *RPC   NEW FACTWAM MODULUS FOR TEMPSTR                       
19APR89 FATCB      *RPC   DEFINE TCBSYM SYMBOLIC IS                             
19APR89 FACHKPT    *RPC   EXTRA UTL FIELDS TO SAVE                              
**********************************************************************          
13APR89 SRSVR00     RPC   RESTORE TEMPEST STORAGE                               
13APR89 FATWASVR   *RPC   RETURN MULTI LINGUAL ERROR MESSAGR                    
13APR89 FAMONITOR  *RPC   TIDY UP FOR CHANGE LEVELS + GOBACK FIX                
12APR89 SRDON00    *RPC   NEW VTAM VERSION                                      
12APR89 FASYSFAC   *RPC   NEW VTAM EQUATES                                      
11APR89 FATERMBLD  *RPC   SET TSYM FROM LUID EL IF PRESENT                      
11APR89 CTGENFILE  *RPC   REDEFINE TERMINAL STATUS BITS                         
11APR89 CTLFM02    *RPC   TERMINAL PASSIVE POINTERS                             
**********************************************************************          
08APR89 SRDQU00     ASE   DISPLAY END OF REPORT MESSAGE SOONER                  
06APR89 EDREQXPLOD -PJC   2ND REQ CARD ON "ALL CLIENT" PROD REQUESTS,           
                          CHANGED TO "Z" TO MATCH 1ST CARD. A67--AZ7            
03APR89 SRPFM00     DAH   SUPPORT FOR NEW TALENT SYSTEM                         
03APR89 GEGENCON    DAH   VAR. LENGTH RECACT ENTRIES. NEW REC/ACT/COMBO         
                          ACCESS CHECKING.  MOVED ERREX TO END OF PGM.          
03APR89 DDGENTWA    DAH   NEW FIELDS FOR REC/ACT ACCESS CHECKING                
03APR89 DDSPLWORKD *DAH   NEW FIELD FOR VARIABLE LENGTH RECACT ENTRIES          
23MAR89 SRABNFF     ASE   ADDED PCLINK FIELD AT END FOR ADLINK 3.0              
22MAR89 SRWHO00     SDE   IN US, DISPLAY FACPAK ID FOR NON-DDS TERMINALS        
21MAR89 DDPDUMPER   MH    SPECIAL SYSPRINT DD FOR 'SOON' DUMPS                  
21MAR89 DDREPMCON   MH    SET FLAG IN PDUMPER FOR 'SOON' DUMPS                  
21MAR89 DDMASTER    MH    SET FLAG IN PDUMPER FOR 'SOON' DUMPS                  
20MAR89 GEGENCON    MH    FIXED SO THAT IF NO ACTV EL MAINT DO NOT              
                          REMOVE NON-EXISTENT X'F1' ELEMENTS.THANKS JZ          
15MAR89 DDDATCON   *RPC   SUPPORT SHORT JULIAN DATES IN/OUT                     
15MAR89 CTGENFILE  *RPC   CHANGE TO CTTRMD DSECT                                
15MAR89 CTLFM02    *RPC   CHANGE TO TERMINAL DEFN ELEMENT                       
15MAR89 CTLFMFD    *RPC   CHANGE TO TERMINAL DEFN ELEMENT                       
15MAR89 SRDON00    *RPC   NEW BTAM/VTAM VERSION                                 
14MAR89 SRRUNFF    *RPC   NEW BTAM/VTAM VERSION                                 
14MAR89 SRRUN00    *RPC   NEW BTAM/VTAM VERSION                                 
14MAR89 SRTIM00    *RPC   NEW BTAM/VTAM VERSION - A                             
14MAR89 SRTOP00    *RPC   NEW BTAM/VTAM VERSION - A                             
14MAR89 FAPRQ      *RPC   MORE VTAM STUFF                                       
13MAR89 FAUTL      *RPC   MORE VTAM STUFF                                       
13MAR89 FASYSFAC   *RPC   MORE VTAM STUFF                                       
13MAR89 SRPRQ00    *RPC   NEW BTAM/VTAM VERSION                                 
13MAR89 SRPRQFF    *RPC   NEW BTAM/VTAM VERSION                                 
13MAR89 SRUTL00    *RPC   NEW BTAM/VTAM VERSION                                 
13MAR89 SRUTLFF    *RPC   NEW BTAM/VTAM VERSION                                 
13MAR89 DMDMGRA    *RPC   NEW TEMPEST CODE AND DELETED RECOVERY RECS            
10MAR89 FATAB      -RPC   CHANGED VDECBLST DC V(TERMBLD) FOR VTAM               
10MAR89 FASYSFAC   *RPC   ADDED VTERMBLD EQU VDECBLST                           
10MAR89 SRPQUWKA   *RPC   $PQ PRINTER CODE WITH VTAM STUFF                      
10MAR89 SRPQU01A   *RPC   $PQ PRINTER CODE WITH VTAM STUFF                      
09MAR89 FATERMBLD  *RPC   NEW TERMINAL UTL/PRQ ENTRY BUILDING ROUTINE           
09MAR89 FATERMVAL  *RPC   NEW TERMINAL VALIDATION ROUTINE                       
09MAR89 SRDIP00    *RPC   SUPPORT $DIP,DL FROM PCS                              
10MAR89 EDREQPEEL  *JJD   READ ALL ODDS RECORDS FOR 54'S.                       
27FEB89 GEGENCON    DAH   POLISHED UP APPL. CONTROLLED READ UPDATE CODE         
17FEB89 GEGENCON    DAH   SOFTENED UP REQUIREMENT FOR GENCON FIELDS             
17FEB89 DDSPLWORKD *DAH   STATUS BIT ALLOWS APPL TO SET A(GENCON FLDS)          
************************************************************************        
16FEB89 DDSPOOL    *RPC   ADDED ; TO TRANSLATE TBL FOR DOWN LOADING             
16FEB89 EDREQPEEL  *RPC   ADD MBA/TAL/MED/ACC EXTRA REQUEST FILES               
16FEB89 EDREQSORT  *RPC   ADDED TALENT SYSTEM                                   
16FEB89 EDREQWRAP  *RPC   ADDED TALENT SYSTEM                                   
16FEB89 EDREQREPS  *RPC   ADDED TALENT SYSTEM                                   
16FEB89 EDREQXPLOD -RPC   NOW PRODUCTION VERSION                                
16FEB89 EDREQD     *RPC   NOW PRODUCTION VERSION                                
